id,source,start_t,end_t,p_ratio
163,GH001 - Active - Day - 141022_0659_0751.mp3,148.0,149.0,0.0
164,GH001 - Active - Day - 141022_0659_0751.mp3,149.0,150.0,0.0
165,GH001 - Active - Day - 141022_0659_0751.mp3,150.0,151.0,0.0
166,GH001 - Active - Day - 141022_0659_0751.mp3,151.0,152.0,0.0
167,GH001 - Active - Day - 141022_0659_0751.mp3,152.0,153.0,0.0
168,GH001 - Active - Day - 141022_0659_0751.mp3,153.0,154.0,0.0
169,GH001 - Active - Day - 141022_0659_0751.mp3,154.0,155.0,0.0
170,GH001 - Active - Day - 141022_0659_0751.mp3,155.0,156.0,0.0
171,GH001 - Active - Day - 141022_0659_0751.mp3,156.0,157.0,0.0
172,GH001 - Active - Day - 141022_0659_0751.mp3,157.0,158.0,0.0
173,GH001 - Active - Day - 141022_0659_0751.mp3,158.0,159.0,0.0
174,GH001 - Active - Day - 141022_0659_0751.mp3,159.0,160.0,0.0
175,GH001 - Active - Day - 141022_0659_0751.mp3,160.0,161.0,0.0
176,GH001 - Active - Day - 141022_0659_0751.mp3,161.0,162.0,0.0
177,GH001 - Active - Day - 141022_0659_0751.mp3,162.0,163.0,0.0
178,GH001 - Active - Day - 141022_0659_0751.mp3,163.0,164.0,0.0
179,GH001 - Active - Day - 141022_0659_0751.mp3,164.0,165.0,0.0
180,GH001 - Active - Day - 141022_0659_0751.mp3,165.0,166.0,0.0
181,GH001 - Active - Day - 141022_0659_0751.mp3,166.0,167.0,0.0
182,GH001 - Active - Day - 141022_0659_0751.mp3,167.0,168.0,0.0
183,GH001 - Active - Day - 141022_0659_0751.mp3,168.0,169.0,0.0
184,GH001 - Active - Day - 141022_0659_0751.mp3,169.0,170.0,0.0
185,GH001 - Active - Day - 141022_0659_0751.mp3,170.0,171.0,0.0
186,GH001 - Active - Day - 141022_0659_0751.mp3,171.0,172.0,0.0
187,GH001 - Active - Day - 141022_0659_0751.mp3,172.0,173.0,0.0
188,GH001 - Active - Day - 141022_0659_0751.mp3,173.0,174.0,0.0
189,GH001 - Active - Day - 141022_0659_0751.mp3,174.0,175.0,0.0
190,GH001 - Active - Day - 141022_0659_0751.mp3,175.0,176.0,0.0
191,GH001 - Active - Day - 141022_0659_0751.mp3,176.0,177.0,0.0
192,GH001 - Active - Day - 141022_0659_0751.mp3,177.0,178.0,0.0
193,GH001 - Active - Day - 141022_0659_0751.mp3,178.0,179.0,0.0
194,GH001 - Active - Day - 141022_0659_0751.mp3,179.0,180.0,0.0
195,GH001 - Active - Day - 141022_0659_0751.mp3,180.0,181.0,0.0
196,GH001 - Active - Day - 141022_0659_0751.mp3,181.0,182.0,0.0
197,GH001 - Active - Day - 141022_0659_0751.mp3,182.0,183.0,0.0
198,GH001 - Active - Day - 141022_0659_0751.mp3,183.0,184.0,0.0
199,GH001 - Active - Day - 141022_0659_0751.mp3,184.0,185.0,0.0
200,GH001 - Active - Day - 141022_0659_0751.mp3,185.0,186.0,0.0
201,GH001 - Active - Day - 141022_0659_0751.mp3,186.0,187.0,0.0
202,GH001 - Active - Day - 141022_0659_0751.mp3,187.0,188.0,0.0
203,GH001 - Active - Day - 141022_0659_0751.mp3,188.0,189.0,0.0
204,GH001 - Active - Day - 141022_0659_0751.mp3,189.0,190.0,0.0
205,GH001 - Active - Day - 141022_0659_0751.mp3,190.0,191.0,0.0
206,GH001 - Active - Day - 141022_0659_0751.mp3,191.0,192.0,0.0
207,GH001 - Active - Day - 141022_0659_0751.mp3,192.0,193.0,0.0
208,GH001 - Active - Day - 141022_0659_0751.mp3,193.0,194.0,0.0
209,GH001 - Active - Day - 141022_0659_0751.mp3,194.0,195.0,0.0
210,GH001 - Active - Day - 141022_0659_0751.mp3,195.0,196.0,0.0
211,GH001 - Active - Day - 141022_0659_0751.mp3,196.0,197.0,0.0
212,GH001 - Active - Day - 141022_0659_0751.mp3,197.0,198.0,0.0
213,GH001 - Active - Day - 141022_0659_0751.mp3,198.0,199.0,0.0
214,GH001 - Active - Day - 141022_0659_0751.mp3,199.0,200.0,0.0
215,GH001 - Active - Day - 141022_0659_0751.mp3,200.0,201.0,0.0
216,GH001 - Active - Day - 141022_0659_0751.mp3,201.0,202.0,0.0
217,GH001 - Active - Day - 141022_0659_0751.mp3,202.0,203.0,0.0
218,GH001 - Active - Day - 141022_0659_0751.mp3,203.0,204.0,0.0
219,GH001 - Active - Day - 141022_0659_0751.mp3,204.0,205.0,0.0
220,GH001 - Active - Day - 141022_0659_0751.mp3,205.0,206.0,0.0
221,GH001 - Active - Day - 141022_0659_0751.mp3,206.0,207.0,0.0
222,GH001 - Active - Day - 141022_0659_0751.mp3,207.0,208.0,0.0
223,GH001 - Active - Day - 141022_0659_0751.mp3,208.0,209.0,0.0
224,GH001 - Active - Day - 141022_0659_0751.mp3,209.0,210.0,0.0
225,GH001 - Active - Day - 141022_0659_0751.mp3,210.0,211.0,0.0
226,GH001 - Active - Day - 141022_0659_0751.mp3,211.0,212.0,0.0
227,GH001 - Active - Day - 141022_0659_0751.mp3,212.0,213.0,0.0
228,GH001 - Active - Day - 141022_0659_0751.mp3,213.0,214.0,0.0
229,GH001 - Active - Day - 141022_0659_0751.mp3,214.0,215.0,0.0
230,GH001 - Active - Day - 141022_0659_0751.mp3,215.0,216.0,0.0
231,GH001 - Active - Day - 141022_0659_0751.mp3,216.0,217.0,0.0
232,GH001 - Active - Day - 141022_0659_0751.mp3,217.0,218.0,0.0
233,GH001 - Active - Day - 141022_0659_0751.mp3,218.0,219.0,0.0
234,GH001 - Active - Day - 141022_0659_0751.mp3,219.0,220.0,0.0
235,GH001 - Active - Day - 141022_0659_0751.mp3,220.0,221.0,0.0
236,GH001 - Active - Day - 141022_0659_0751.mp3,221.0,222.0,0.0
237,GH001 - Active - Day - 141022_0659_0751.mp3,222.0,223.0,0.0
238,GH001 - Active - Day - 141022_0659_0751.mp3,223.0,224.0,0.0
239,GH001 - Active - Day - 141022_0659_0751.mp3,224.0,225.0,0.0
240,GH001 - Active - Day - 141022_0659_0751.mp3,225.0,226.0,0.0
241,GH001 - Active - Day - 141022_0659_0751.mp3,226.0,227.0,0.0
242,GH001 - Active - Day - 141022_0659_0751.mp3,227.0,228.0,0.0
243,GH001 - Active - Day - 141022_0659_0751.mp3,228.0,229.0,0.0
244,GH001 - Active - Day - 141022_0659_0751.mp3,229.0,230.0,0.0
245,GH001 - Active - Day - 141022_0659_0751.mp3,230.0,231.0,0.0
246,GH001 - Active - Day - 141022_0659_0751.mp3,231.0,232.0,0.0
247,GH001 - Active - Day - 141022_0659_0751.mp3,232.0,233.0,0.0
248,GH001 - Active - Day - 141022_0659_0751.mp3,233.0,234.0,0.0
249,GH001 - Active - Day - 141022_0659_0751.mp3,234.0,235.0,0.0
250,GH001 - Active - Day - 141022_0659_0751.mp3,235.0,236.0,0.0
251,GH001 - Active - Day - 141022_0659_0751.mp3,236.0,237.0,0.0
252,GH001 - Active - Day - 141022_0659_0751.mp3,237.0,238.0,0.0
253,GH001 - Active - Day - 141022_0659_0751.mp3,238.0,239.0,0.0
254,GH001 - Active - Day - 141022_0659_0751.mp3,239.0,240.0,0.0
255,GH001 - Active - Day - 141022_0659_0751.mp3,240.0,241.0,0.0
256,GH001 - Active - Day - 141022_0659_0751.mp3,241.0,242.0,0.0
257,GH001 - Active - Day - 141022_0659_0751.mp3,242.0,243.0,0.0
258,GH001 - Active - Day - 141022_0659_0751.mp3,243.0,244.0,0.0
259,GH001 - Active - Day - 141022_0659_0751.mp3,244.0,245.0,0.0
260,GH001 - Active - Day - 141022_0659_0751.mp3,245.0,246.0,0.0
261,GH001 - Active - Day - 141022_0659_0751.mp3,246.0,247.0,0.0
262,GH001 - Active - Day - 141022_0659_0751.mp3,247.0,248.0,0.0
263,GH001 - Active - Day - 141022_0659_0751.mp3,248.0,249.0,0.0
264,GH001 - Active - Day - 141022_0659_0751.mp3,249.0,250.0,0.0
265,GH001 - Active - Day - 141022_0659_0751.mp3,250.0,251.0,0.0
266,GH001 - Active - Day - 141022_0659_0751.mp3,251.0,252.0,0.0
267,GH001 - Active - Day - 141022_0659_0751.mp3,252.0,253.0,0.0
268,GH001 - Active - Day - 141022_0659_0751.mp3,253.0,254.0,0.0
269,GH001 - Active - Day - 141022_0659_0751.mp3,254.0,255.0,0.0
270,GH001 - Active - Day - 141022_0659_0751.mp3,255.0,256.0,0.0
271,GH001 - Active - Day - 141022_0659_0751.mp3,256.0,257.0,0.0
272,GH001 - Active - Day - 141022_0659_0751.mp3,257.0,258.0,0.0
273,GH001 - Active - Day - 141022_0659_0751.mp3,258.0,259.0,0.0
274,GH001 - Active - Day - 141022_0659_0751.mp3,259.0,260.0,0.0
275,GH001 - Active - Day - 141022_0659_0751.mp3,260.0,261.0,0.0
276,GH001 - Active - Day - 141022_0659_0751.mp3,261.0,262.0,0.0
277,GH001 - Active - Day - 141022_0659_0751.mp3,262.0,263.0,0.0
278,GH001 - Active - Day - 141022_0659_0751.mp3,263.0,264.0,0.0
279,GH001 - Active - Day - 141022_0659_0751.mp3,264.0,265.0,0.0
280,GH001 - Active - Day - 141022_0659_0751.mp3,265.0,266.0,0.0
281,GH001 - Active - Day - 141022_0659_0751.mp3,266.0,267.0,0.0
282,GH001 - Active - Day - 141022_0659_0751.mp3,267.0,268.0,0.0
283,GH001 - Active - Day - 141022_0659_0751.mp3,268.0,269.0,0.0
284,GH001 - Active - Day - 141022_0659_0751.mp3,269.0,270.0,0.0
285,GH001 - Active - Day - 141022_0659_0751.mp3,270.0,271.0,0.0
286,GH001 - Active - Day - 141022_0659_0751.mp3,271.0,272.0,0.0
287,GH001 - Active - Day - 141022_0659_0751.mp3,272.0,273.0,0.0
288,GH001 - Active - Day - 141022_0659_0751.mp3,273.0,274.0,0.0
289,GH001 - Active - Day - 141022_0659_0751.mp3,274.0,275.0,0.0
290,GH001 - Active - Day - 141022_0659_0751.mp3,275.0,276.0,0.0
291,GH001 - Active - Day - 141022_0659_0751.mp3,276.0,277.0,0.0
292,GH001 - Active - Day - 141022_0659_0751.mp3,277.0,278.0,0.0
293,GH001 - Active - Day - 141022_0659_0751.mp3,278.0,279.0,0.0
294,GH001 - Active - Day - 141022_0659_0751.mp3,279.0,280.0,0.0
295,GH001 - Active - Day - 141022_0659_0751.mp3,280.0,281.0,0.0
296,GH001 - Active - Day - 141022_0659_0751.mp3,281.0,282.0,0.0
297,GH001 - Active - Day - 141022_0659_0751.mp3,282.0,283.0,0.0
298,GH001 - Active - Day - 141022_0659_0751.mp3,283.0,284.0,0.0
299,GH001 - Active - Day - 141022_0659_0751.mp3,284.0,285.0,0.0
300,GH001 - Active - Day - 141022_0659_0751.mp3,285.0,286.0,0.0
301,GH001 - Active - Day - 141022_0659_0751.mp3,286.0,287.0,0.0
302,GH001 - Active - Day - 141022_0659_0751.mp3,287.0,288.0,0.0
303,GH001 - Active - Day - 141022_0659_0751.mp3,288.0,289.0,0.0
304,GH001 - Active - Day - 141022_0659_0751.mp3,289.0,290.0,0.0
305,GH001 - Active - Day - 141022_0659_0751.mp3,290.0,291.0,0.0
306,GH001 - Active - Day - 141022_0659_0751.mp3,291.0,292.0,0.0
307,GH001 - Active - Day - 141022_0659_0751.mp3,292.0,293.0,0.0
308,GH001 - Active - Day - 141022_0659_0751.mp3,293.0,294.0,0.0
309,GH001 - Active - Day - 141022_0659_0751.mp3,294.0,295.0,0.0
310,GH001 - Active - Day - 141022_0659_0751.mp3,295.0,296.0,0.0
311,GH001 - Active - Day - 141022_0659_0751.mp3,296.0,297.0,0.0
312,GH001 - Active - Day - 141022_0659_0751.mp3,297.0,298.0,0.0
313,GH001 - Active - Day - 141022_0659_0751.mp3,298.0,299.0,0.0
314,GH001 - Active - Day - 141022_0659_0751.mp3,299.0,300.0,0.0
315,GH001 - Active - Day - 141022_0659_0751.mp3,300.0,301.0,0.0
316,GH001 - Active - Day - 141022_0659_0751.mp3,301.0,302.0,0.0
317,GH001 - Active - Day - 141022_0659_0751.mp3,302.0,303.0,0.0
318,GH001 - Active - Day - 141022_0659_0751.mp3,303.0,304.0,0.0
319,GH001 - Active - Day - 141022_0659_0751.mp3,304.0,305.0,0.0
320,GH001 - Active - Day - 141022_0659_0751.mp3,305.0,306.0,0.0
321,GH001 - Active - Day - 141022_0659_0751.mp3,306.0,307.0,0.0
322,GH001 - Active - Day - 141022_0659_0751.mp3,307.0,308.0,0.0
323,GH001 - Active - Day - 141022_0659_0751.mp3,308.0,309.0,0.0
324,GH001 - Active - Day - 141022_0659_0751.mp3,309.0,310.0,0.0
325,GH001 - Active - Day - 141022_0659_0751.mp3,310.0,311.0,0.0
326,GH001 - Active - Day - 141022_0659_0751.mp3,311.0,312.0,0.0
327,GH001 - Active - Day - 141022_0659_0751.mp3,312.0,313.0,0.0
328,GH001 - Active - Day - 141022_0659_0751.mp3,313.0,314.0,0.0
329,GH001 - Active - Day - 141022_0659_0751.mp3,314.0,315.0,0.0
330,GH001 - Active - Day - 141022_0659_0751.mp3,315.0,316.0,0.0
331,GH001 - Active - Day - 141022_0659_0751.mp3,316.0,317.0,0.0
332,GH001 - Active - Day - 141022_0659_0751.mp3,317.0,318.0,0.0
333,GH001 - Active - Day - 141022_0659_0751.mp3,318.0,319.0,0.0
334,GH001 - Active - Day - 141022_0659_0751.mp3,319.0,320.0,0.0
335,GH001 - Active - Day - 141022_0659_0751.mp3,320.0,321.0,0.0
336,GH001 - Active - Day - 141022_0659_0751.mp3,321.0,322.0,0.0
337,GH001 - Active - Day - 141022_0659_0751.mp3,322.0,323.0,0.0
338,GH001 - Active - Day - 141022_0659_0751.mp3,323.0,324.0,0.0
339,GH001 - Active - Day - 141022_0659_0751.mp3,324.0,325.0,0.0
340,GH001 - Active - Day - 141022_0659_0751.mp3,325.0,326.0,0.0
341,GH001 - Active - Day - 141022_0659_0751.mp3,326.0,327.0,0.0
342,GH001 - Active - Day - 141022_0659_0751.mp3,327.0,328.0,0.0
343,GH001 - Active - Day - 141022_0659_0751.mp3,328.0,329.0,0.0
344,GH001 - Active - Day - 141022_0659_0751.mp3,329.0,330.0,0.0
345,GH001 - Active - Day - 141022_0659_0751.mp3,330.0,331.0,0.0
346,GH001 - Active - Day - 141022_0659_0751.mp3,331.0,332.0,0.0
347,GH001 - Active - Day - 141022_0659_0751.mp3,332.0,333.0,0.0
348,GH001 - Active - Day - 141022_0659_0751.mp3,333.0,334.0,0.0
349,GH001 - Active - Day - 141022_0659_0751.mp3,334.0,335.0,0.0
350,GH001 - Active - Day - 141022_0659_0751.mp3,335.0,336.0,0.0
351,GH001 - Active - Day - 141022_0659_0751.mp3,336.0,337.0,0.0
352,GH001 - Active - Day - 141022_0659_0751.mp3,337.0,338.0,0.0
353,GH001 - Active - Day - 141022_0659_0751.mp3,338.0,339.0,0.0
354,GH001 - Active - Day - 141022_0659_0751.mp3,339.0,340.0,0.0
355,GH001 - Active - Day - 141022_0659_0751.mp3,340.0,341.0,0.0
356,GH001 - Active - Day - 141022_0659_0751.mp3,341.0,342.0,0.0
357,GH001 - Active - Day - 141022_0659_0751.mp3,342.0,343.0,0.0
358,GH001 - Active - Day - 141022_0659_0751.mp3,343.0,344.0,0.0
